what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419859559638
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419859563164
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419859563164
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419859563179
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859581712
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859583865
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859592741
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859592757
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859593662
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859595846
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859596470
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859598326
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859599231
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859639896
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859646105
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859667462
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1419859667493
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1419859667633
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859671502
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859672688
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1419859672719
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419859677586
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419859677664
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419859678772
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419859678990
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419859679115
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ResourceNavigator",1419859697039
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419859699754
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1419859699832
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859700237
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859743415
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859748095
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859768266
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.J2EEPerspective",1419859768297
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1419859768453
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859771948
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859773539
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859773570
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1419859773617
