what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1427482929864
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1427482932964
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1427482933934
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1427482936186
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1427482937346
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1427482941256
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1427482951986
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427482953796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427482959516
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427482963096
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427482963116
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427482967666
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427482970878
executed,command,org.maven.ide.eclipse,0.0.10,"org.maven.ide.eclipse.pomFileAction.run",1427482970888
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1427482973123
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1427482973167
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1427482987076
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1427482997906
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1427482998186
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1427483006508
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1427483008788
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1427483009068
executed,command,,,"org.maven.ide.eclipse.actions.LifeCycleTest.run",1427483013110
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1427483014062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483065674
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483066274
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1427483068134
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1427483069474
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1427483077484
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1427483079054
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1427483080544
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1427483081604
executed,command,,,"org.maven.ide.eclipse.actions.LifeCycleInstall.run",1427483089214
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1427483090177
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1427483113515
executed,command,org.maven.ide.eclipse,0.0.10,"org.maven.ide.eclipse.pomFileAction.run",1427483132935
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1427483133801
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1427483142146
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483143106
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483581480
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1427483583165
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1427483585721
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1427483586209
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483596773
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483598975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483599772
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483602512
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483608119
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483613359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483614710
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483616389
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483618122
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483621230
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483628045
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483645007
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1427483650657
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483652837
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483810642
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483811282
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483946911
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1427483949134
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1427483949501
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1427483952710
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1427483954005
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1427483955378
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1427483956571
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483957516
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1427483959393
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1427483968544
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.moveLineUp",1427483971732
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.moveLineUp",1427483972068
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.moveLineUp",1427483972221
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.moveLineUp",1427483972354
